,money,recent,frequency,cluster
578,3025.0,138,2,0
579,8086.0,139,3,0
580,1813.0,110,1,1
581,1490.0,68,1,1
582,1310.0,183,1,1
583,17751.0,19,13,0
584,903.0,142,1,1
585,852.0,97,1,1
586,3215.0,116,1,1
587,897.0,151,1,1
588,1205.0,95,1,1
589,921.0,185,1,1
590,5753.0,2,3,0
591,14366.0,1,5,0
592,7873.0,144,2,0
593,11908.0,80,6,0
594,712.0,187,1,1
595,3710.0,43,2,0
596,6151.0,8,3,0
597,1242.5,21,1,2
598,1462.0,98,2,1
599,3515.5,19,2,0
600,12044.0,39,5,0
601,1214.5,157,1,1
602,3441.0,100,2,0
603,593.5,14,1,2
604,12665.0,96,3,0
605,1036.0,71,1,1
606,4334.5,37,3,0
607,984.5,188,1,1
608,8481.0,97,2,0
609,1899.0,91,2,1
610,6330.5,33,3,0
611,4957.0,1,2,2
612,1256.0,118,1,1
613,980.0,182,1,1
614,2878.0,104,2,0
615,2508.0,110,2,1
616,1983.5,23,2,2
617,1279.0,144,1,1
618,12966.5,46,5,0
619,6352.0,11,3,0
620,2491.0,173,1,1
621,456.0,176,1,1
622,1098.0,17,1,2
623,1609.5,184,1,1
624,6003.5,127,1,1
625,2537.5,36,1,2
626,3775.0,77,1,1
627,5583.0,170,2,0
628,6396.0,38,2,0
629,5525.0,69,2,0
630,3076.0,159,1,1
631,21658.5,112,5,0
632,1107.0,89,1,1
633,3963.5,132,1,1
634,5651.5,36,2,0
635,1062.0,141,1,1
636,23132.0,21,13,0
637,2718.0,9,2,2
638,18148.34,5,7,0
639,1719.5,86,3,0
640,2077.5,49,1,1
641,912.0,98,1,1
642,4680.0,13,8,0
643,3207.0,7,1,2
644,1668.0,139,1,1
645,1726.5,94,1,1
646,1151.5,84,1,1
647,2546.5,19,1,2
648,5007.0,125,1,1
649,16308.5,20,7,0
650,1774.5,76,1,1
651,13460.0,17,9,0
652,7127.0,5,2,0
653,5418.5,19,3,0
654,905.0,186,1,1
655,1157.0,153,1,1
656,7082.5,52,3,0
657,554.0,54,1,1
658,2440.0,186,1,1
659,637.0,125,1,1
660,3514.0,98,2,0
661,4284.5,114,2,0
662,6801.0,17,7,0
663,13044.0,14,1,0
664,4553.0,56,2,0
665,1769.5,120,1,1
666,2259.5,74,2,0
667,8901.5,2,6,0
668,588.0,111,1,1
669,2656.0,148,1,1
670,2620.5,169,1,1
671,14095.5,57,7,0
672,1650.0,17,1,2
673,4777.0,9,2,0
674,1548.0,174,1,1
675,12500.0,31,2,0
676,855.0,19,1,2
677,12456.0,10,5,0
678,5090.0,2,3,0
679,3581.5,189,1,1
680,5071.0,35,5,0
681,3313.0,8,1,2
682,12872.0,41,1,0
683,2630.0,117,3,0
684,7852.0,36,7,0
685,2287.0,8,2,2
686,8638.0,95,4,0
687,1370.0,49,2,1
688,7902.0,82,1,1
689,1644.0,158,1,1
690,5530.5,53,2,0
691,4158.0,3,6,0
692,6301.0,61,6,0
693,10819.5,35,10,0
694,2948.0,35,2,0
695,989.0,124,1,1
696,514.0,126,1,1
697,4792.0,20,1,2
698,1522.5,176,2,1
699,2450.0,142,1,1
700,2917.5,4,2,2
701,10496.5,19,2,0
702,1132.0,82,1,1
703,4061.5,182,1,1
704,5253.0,152,2,0
705,4813.0,31,3,0
706,12096.65,15,10,0
707,1369.0,147,1,1
708,780.0,97,1,1
709,1339.0,118,1,1
710,3067.0,144,2,0
711,6126.0,8,5,0
712,757.0,161,1,1
713,3345.0,97,1,1
714,1684.0,156,1,1
715,6821.5,45,5,0
716,986.5,124,1,1
717,1487.5,123,2,1
718,9221.0,152,1,1
719,6140.0,100,3,0
720,1339.5,173,1,1
721,2458.0,101,1,1
722,835.0,128,1,1
723,899.0,131,1,1
724,3384.5,17,4,0
725,4151.0,115,3,0
726,2072.0,4,2,2
727,527.5,93,1,1
728,168.0,185,1,1
729,3184.0,143,1,1
730,2337.0,125,1,1
731,9724.5,79,2,0
732,3694.0,178,2,0
733,1407.0,138,1,1
734,10471.0,75,7,0
735,9413.5,29,4,0
736,1200.0,155,1,1
737,1539.5,146,1,1
738,999.0,42,1,1
739,7522.0,22,5,0
740,4005.0,28,4,0
741,1949.0,145,1,1
742,13281.0,4,5,0
743,1475.0,162,1,1
744,1183.0,174,2,1
745,9058.0,152,1,1
746,9194.0,163,1,1
747,1547.0,97,1,1
748,733.0,151,1,1
749,1703.0,189,1,1
750,1857.0,9,2,2
751,12822.0,90,5,0
752,6819.0,104,3,0
753,1586.0,154,1,1
754,3717.0,2,2,2
755,14006.0,2,5,0
756,5510.0,59,3,0
757,19000.0,24,4,0
758,6108.5,142,4,0
759,4538.0,9,2,0
760,300.0,100,1,1
761,13509.0,7,3,0
762,2219.0,111,1,1
763,12469.0,25,6,0
764,1673.0,51,1,1
765,4122.0,132,1,1
766,3002.0,97,1,1
767,1048.0,69,1,1
768,7778.0,142,3,0
769,3087.0,39,2,0
770,3604.0,19,3,0
771,1026.0,114,1,1
772,2038.0,117,1,1
773,1837.0,143,1,1
774,5837.0,150,3,0
775,2981.5,155,1,1
776,3598.0,152,1,1
777,40.0,87,1,1
778,1614.5,35,2,2
779,1102.0,98,1,1
780,1218.0,27,2,2
781,1562.0,117,1,1
782,1672.0,61,1,1
783,6479.5,61,3,0
784,24439.8,8,17,0
785,6346.0,168,1,1
786,3332.0,98,1,1
787,1964.0,19,3,0
788,4414.0,61,1,1
789,2097.0,160,1,1
790,937.0,163,1,1
791,3514.5,183,2,1
792,5834.5,44,5,0
793,4583.5,163,2,0
794,2738.0,35,2,0
795,1859.66,83,2,1
796,19972.5,30,10,0
797,13790.0,65,4,0
798,1829.0,189,1,1
799,4117.5,22,2,0
800,6377.0,175,2,0
801,2689.0,132,1,1
802,2626.0,98,3,0
803,8067.0,73,3,0
804,7659.0,14,2,0
805,6517.220000000001,35,3,0
806,2370.0,137,2,1
807,2054.0,11,1,2
808,3944.5,16,3,0
809,1312.0,185,1,1
810,2527.0,33,2,0
811,7465.5,1,4,0
812,4154.0,31,4,0
813,354.0,182,1,1
814,14382.0,18,4,0
815,11117.0,36,5,0
816,15963.0,10,6,0
817,6565.0,34,4,0
818,5576.0,142,2,0
819,1133.0,30,1,2
820,1704.0,82,1,1
821,10752.0,56,5,0
822,5498.0,98,2,0
823,2394.0,122,1,1
824,10463.0,71,5,0
825,3132.0,131,2,0
826,5504.0,117,3,0
827,1202.0,76,1,1
828,4457.5,56,3,0
829,989.0,151,1,1
830,2177.0,59,1,1
831,5553.0,13,4,0
832,11093.0,12,5,0
833,1528.0,44,1,1
834,3143.5,70,3,0
835,372.5,179,1,1
836,2866.0,143,2,1
837,1010.0,190,1,1
838,1348.0,175,1,1
839,24427.34,27,10,0
840,5552.5,147,2,0
841,1375.5,36,1,2
842,1408.0,158,1,1
843,2055.0,55,1,1
844,2643.0,166,1,1
845,1867.0,72,1,1
846,2001.0,160,1,1
847,2033.5,39,2,0
848,1586.0,38,1,2
849,1480.5,73,1,1
850,905.0,92,1,1
