会员编号,money,recent,frequency
1035469583,5071.0,35,5
1035469587,3313.0,8,1
1035469593,12872.0,41,1
1035469596,2630.0,117,3
1035469605,7852.0,36,7
1035469607,2287.0,8,2
1035469608,8638.0,95,4
1035469613,1370.0,49,2
1035469614,7902.0,82,1
1035469617,1644.0,158,1
1035469633,5530.5,53,2
1035469636,4158.0,3,6
1035469639,6301.0,61,6
1035469649,10819.5,35,10
1035469651,2948.0,35,2
1035469653,989.0,124,1
1035469655,514.0,126,1
1035469661,4792.0,20,1
1035469664,1522.5,176,2
1035469665,2450.0,142,1
1035469670,2917.5,4,2
1035469671,10496.5,19,2
1035469673,1132.0,82,1
1035469680,4061.5,182,1
1035469683,5253.0,152,2
1035469693,4813.0,31,3
1035469695,12096.65,15,10
1035469699,1369.0,147,1
1035469703,780.0,97,1
1035469715,1339.0,118,1
1035469723,3067.0,144,2
1035469728,6126.0,8,5
1035469732,757.0,161,1
1035469740,3345.0,97,1
1035469741,1684.0,156,1
1035469743,6821.5,45,5
1035469746,986.5,124,1
1035469755,1487.5,123,2
1035469756,9221.0,152,1
1035469761,6140.0,100,3
1035469766,1339.5,173,1
1035469774,2458.0,101,1
1035469776,835.0,128,1
1035469780,899.0,131,1
1035469889,1200.0,155,1
1035469892,999.0,42,1
1035469899,4005.0,28,4
1035469945,1183.0,174,2
1035469961,1547.0,97,1
1035469976,12822.0,90,5
1035470181,4122.0,132,1
1035470243,1048.0,69,1
1035470383,3604.0,19,3
1035470419,5837.0,150,3
1035470781,1562.0,117,1
1035610425,3332.0,98,1
1035612774,1964.0,19,3
1035612775,4414.0,61,1
1035612776,2097.0,160,1
1035612780,937.0,163,1
1035612781,3514.5,183,2
1035612784,5834.5,44,5
1035612785,4583.5,163,2
1035612786,2738.0,35,2
1035612789,1859.6599999999999,83,2
1035612790,19972.5,30,10
1035612791,13790.0,65,4
1035612793,1829.0,189,1
1035612796,4117.5,22,2
1035612797,6377.0,175,2
1035612799,2689.0,132,1
1035612800,2626.0,98,3
1035612805,8067.0,73,3
1035612806,7659.0,14,2
1035612808,6517.220000000001,35,3
1035612809,2370.0,137,2
1035612811,2054.0,11,1
1035612822,3944.5,16,3
1035612831,1312.0,185,1
1035612832,2527.0,33,2
1035612835,7465.5,1,4
1035612843,4154.0,31,4
1035612844,354.0,182,1
1035612845,14382.0,18,4
1035612856,11117.0,36,5
1035612857,15963.0,10,6
1035612858,6565.0,34,4
1035612862,5576.0,142,2
1035612866,1133.0,30,1
1035612868,1704.0,82,1
1035612873,10752.0,56,5
1035612875,5498.0,98,2
1035612880,2394.0,122,1
1035612881,10463.0,71,5
1035612883,3132.0,131,2
1035612888,5504.0,117,3
1035612889,1202.0,76,1
1035612893,4457.5,56,3
1035612898,989.0,151,1
1035612900,2177.0,59,1
1035612908,5553.0,13,4
1035612910,11093.0,12,5
1035612918,1528.0,44,1
1035612919,3143.5,70,3
