money,recent,frequency
12044.0,39,5
1214.5,157,1
3441.0,100,2
593.5,14,1
12665.0,96,3
1036.0,71,1
4334.5,37,3
984.5,188,1
8481.0,97,2
1899.0,91,2
6330.5,33,3
4957.0,1,2
1256.0,118,1
980.0,182,1
2878.0,104,2
2508.0,110,2
1983.5,23,2
1279.0,144,1
12966.5,46,5
6352.0,11,3
2491.0,173,1
456.0,176,1
1098.0,17,1
1609.5,184,1
6003.5,127,1
2537.5,36,1
3775.0,77,1
5583.0,170,2
6396.0,38,2
5525.0,69,2
3076.0,159,1
21658.5,112,5
1107.0,89,1
3963.5,132,1
5651.5,36,2
1062.0,141,1
23132.0,21,13
2718.0,9,2
18148.34,5,7
1719.5,86,3
2077.5,49,1
912.0,98,1
4680.0,13,8
3207.0,7,1
1668.0,139,1
1726.5,94,1
1151.5,84,1
2546.5,19,1
5007.0,125,1
16308.5,20,7
1774.5,76,1
13460.0,17,9
7127.0,5,2
5418.5,19,3
905.0,186,1
1157.0,153,1
7082.5,52,3
554.0,54,1
2440.0,186,1
637.0,125,1
3514.0,98,2
4284.5,114,2
6801.0,17,7
13044.0,14,1
4553.0,56,2
1769.5,120,1
2259.5,74,2
8901.5,2,6
588.0,111,1
2656.0,148,1
2620.5,169,1
14095.5,57,7
1650.0,17,1
4777.0,9,2
1548.0,174,1
12500.0,31,2
855.0,19,1
12456.0,10,5
5090.0,2,3
3581.5,189,1
5071.0,35,5
3313.0,8,1
12872.0,41,1
2630.0,117,3
7852.0,36,7
2287.0,8,2
8638.0,95,4
1370.0,49,2
7902.0,82,1
1644.0,158,1
5530.5,53,2
4158.0,3,6
6301.0,61,6
10819.5,35,10
2948.0,35,2
989.0,124,1
514.0,126,1
4792.0,20,1
1522.5,176,2
2450.0,142,1
2917.5,4,2
10496.5,19,2
1132.0,82,1
4061.5,182,1
5253.0,152,2
4813.0,31,3
12096.65,15,10
1369.0,147,1
780.0,97,1
1339.0,118,1
3067.0,144,2
6126.0,8,5
757.0,161,1
3345.0,97,1
1684.0,156,1
6821.5,45,5
986.5,124,1
1487.5,123,2
9221.0,152,1
6140.0,100,3
1339.5,173,1
2458.0,101,1
835.0,128,1
899.0,131,1
3384.5,17,4
4151.0,115,3
2072.0,4,2
527.5,93,1
168.0,185,1
3184.0,143,1
2337.0,125,1
9724.5,79,2
3694.0,178,2
1407.0,138,1
10471.0,75,7
9413.5,29,4
1200.0,155,1
1539.5,146,1
999.0,42,1
7522.0,22,5
4005.0,28,4
1949.0,145,1
13281.0,4,5
1475.0,162,1
1183.0,174,2
9058.0,152,1
9194.0,163,1
1547.0,97,1
733.0,151,1
1703.0,189,1
1857.0,9,2
12822.0,90,5
6819.0,104,3
1586.0,154,1
3717.0,2,2
14006.0,2,5
5510.0,59,3
19000.0,24,4
6108.5,142,4
4538.0,9,2
300.0,100,1
13509.0,7,3
2219.0,111,1
12469.0,25,6
1673.0,51,1
4122.0,132,1
3002.0,97,1
1048.0,69,1
7778.0,142,3
3087.0,39,2
3604.0,19,3
1026.0,114,1
2038.0,117,1
1837.0,143,1
5837.0,150,3
2981.5,155,1
3598.0,152,1
40.0,87,1
1614.5,35,2
