会员编号,money,recent,frequency,sex,age
1035469452,5525.0,69,54,2,36
1035469454,3076.0,159,31,2,38
1035469457,21471.5,112,147,2,36
1035469459,1107.0,89,24,1,29
1035469462,2384.5,132,39,1,36
1035469463,5651.5,36,60,1,36
1035469466,1062.0,141,21,1,36
1035469470,23132.0,21,321,2,36
1035469471,2718.0,9,49,1,36
1035469475,18148.34,5,190,2,36
1035469480,1719.5,86,48,2,36
1035469486,2077.5,49,24,1,39
1035469488,912.0,98,22,2,37
1035469489,4680.0,13,147,1,36
1035469491,3207.0,7,32,2,36
1035469492,1668.0,139,29,2,36
1035469498,1151.5,84,23,2,36
1035469500,2546.5,19,23,1,28
1035469502,3967.0,125,27,1,37
1035469503,16308.5,20,187,2,36
1035469505,1774.5,76,25,2,36
1035469508,13460.0,17,225,1,35
1035469509,7127.0,5,55,2,36
1035469511,5418.5,19,71,2,36
1035469512,905.0,186,22,2,36
1035469513,1157.0,153,21,2,36
1035469517,7082.5,52,70,2,36
1035469518,554.0,54,19,2,36
1035469519,2440.0,186,30,2,36
1035469522,637.0,125,22,2,36
1035469523,3514.0,98,58,1,36
1035469525,2776.5,114,50,2,36
1035469527,6801.0,17,143,2,32
1035469537,7660.0,14,34,2,36
1035469540,4553.0,56,50,2,36
1035469544,1769.5,120,27,2,37
1035469549,8901.5,2,160,2,33
1035469550,588.0,111,15,1,36
1035469551,2656.0,148,20,2,36
1035469555,2620.5,169,28,1,36
1035469558,11498.5,57,169,2,37
1035469563,1618.0,17,43,2,36
1035469564,4777.0,9,50,2,32
1035469567,1548.0,174,25,1,34
1035469576,12456.0,10,124,2,36
1035469581,3581.5,189,34,2,36
1035469583,5071.0,35,110,2,36
1035469587,3313.0,8,20,2,36
1035469593,12626.0,41,51,2,52
1035469596,2630.0,117,69,2,38
1035469605,7852.0,36,151,2,36
1035469607,2287.0,8,40,2,36
1035469608,8638.0,95,114,1,36
1035469613,1370.0,49,35,1,36
1035469614,2634.0,82,27,1,36
1035469617,1644.0,158,28,2,36
1035469633,5530.5,53,55,2,36
1035469636,4158.0,3,101,2,36
1035469639,6301.0,61,132,2,36
1035469649,10819.5,35,210,2,47
1035469651,2948.0,35,45,2,36
1035469653,989.0,124,27,2,36
1035469655,514.0,126,17,2,36
1035469661,2740.0,20,33,2,36
1035469664,1522.5,176,41,2,36
1035469665,2450.0,142,30,2,36
1035469670,2917.5,4,50,2,36
1035469671,10496.5,19,51,2,36
1035469673,1132.0,82,22,1,36
1035469680,4061.5,182,29,2,36
1035469683,5253.0,152,61,2,36
1035469693,4813.0,31,72,2,36
1035469695,12096.65,15,244,2,29
1035469699,1369.0,147,23,2,36
1035469703,780.0,97,20,2,36
1035469715,1339.0,118,19,2,36
1035469723,3065.0,144,48,2,36
1035469728,6126.0,8,106,2,36
1035469732,757.0,161,17,2,36
1035469740,3345.0,97,24,2,32
1035469741,1684.0,156,24,2,36
1035469743,6821.5,45,121,2,36
1035469746,986.5,124,18,1,36
1035469755,1487.5,123,42,1,36
1035469756,9221.0,152,31,1,36
1035469761,6140.0,100,70,2,36
1035469766,1339.5,173,24,1,36
1035469774,2458.0,101,25,2,36
1035469776,835.0,128,18,2,36
1035469780,899.0,131,22,2,36
1035469889,1200.0,155,24,2,21
1035469892,999.0,42,18,1,34
1035469899,4005.0,28,83,2,34
1035469945,1183.0,174,37,1,32
1035469961,1547.0,97,29,1,9
1035469976,11209.0,90,115,2,37
1035470181,4122.0,132,30,1,34
1035470243,1048.0,69,23,2,44
1035470383,3604.0,19,70,2,30
1035470419,5837.0,150,85,1,46
1035470781,1562.0,117,28,1,38
1035610425,3332.0,98,29,2,52
1035612774,1964.0,19,60,2,36
1035612775,4156.0,61,48,2,36
1035612776,2097.0,160,30,2,36
1035612780,937.0,163,24,2,36
1035612781,3514.5,183,52,2,36
1035612784,5834.5,44,134,1,36
1035612785,4583.5,163,55,2,36
1035612786,2738.0,35,48,2,36
1035612789,1859.6599999999999,83,51,1,35
1035612790,19972.5,30,294,1,36
1035612791,13740.0,65,143,2,36
1035612793,1829.0,189,23,2,36
1035612796,4117.5,22,59,2,38
1035612797,6377.0,175,53,2,36
1035612799,2689.0,132,30,2,31
1035612800,2626.0,98,72,2,36
1035612805,8067.0,73,100,2,36
1035612806,7659.0,14,64,2,36
1035612808,6517.220000000001,35,80,2,34
1035612809,2370.0,137,52,2,36
1035612811,2054.0,11,29,2,36
1035612822,3944.5,16,74,1,33
1035612831,1312.0,185,26,2,36
1035612832,2527.0,33,58,2,36
1035612835,7465.5,1,105,2,36
1035612843,4154.0,31,91,2,30
1035612844,354.0,182,15,2,36
1035612845,14382.0,18,118,2,36
1035612856,11117.0,36,139,2,36
1035612857,15963.0,10,126,2,36
1035612858,6565.0,34,112,2,36
1035612862,3614.0,142,56,1,36
1035612866,1133.0,30,22,2,36
1035612868,1704.0,82,26,2,36
1035612873,10752.0,56,148,1,34
1035612875,5498.0,98,56,2,40
1035612880,2394.0,122,22,2,36
1035612881,10283.0,71,155,2,36
1035612883,3132.0,131,51,2,29
1035612888,5315.0,117,94,2,36
1035612889,1202.0,76,24,2,36
1035612893,4457.5,56,73,2,36
1035612898,989.0,151,25,2,36
1035612900,2177.0,59,27,2,36
1035612908,5553.0,13,103,2,36
1035612910,11093.0,12,124,2,36
1035612918,764.0,44,22,2,42
1035612919,3143.5,70,81,2,45
1035612922,372.5,179,19,2,36
1035612928,2866.0,143,31,2,36
1035612948,22418.34,27,309,2,45
1035613029,2643.0,166,28,1,37
1035613057,1867.0,72,26,1,44
1035613064,2001.0,160,28,2,36
1035613075,2033.5,39,49,1,30
1035613093,1480.5,73,27,2,36
1035613095,905.0,92,21,2,36
1035613116,3865.0,83,86,2,36
1035613150,2094.0,90,29,2,43
1035613162,431.5,167,21,2,36
1035613222,4464.5,179,33,2,36
1035613239,1405.5,71,28,2,36
1035613252,2465.0,6,28,2,36
1035613259,1318.5,91,45,2,36
1035691659,2803.0,142,25,2,27
1035924016,929.0,71,19,1,2
1036062484,2.0,98,2,1,32
1036084479,1804.5,14,44,2,36
1036142654,2360.0,85,70,1,20
1036143471,982.0,92,37,2,37
1036144747,622.0,178,16,1,30
1036145840,3628.0,32,50,2,47
1036150893,516.0,127,17,2,25
1036152032,2559.0,153,32,2,32
1036152258,671.0,56,21,1,32
1036153730,656.0,149,19,2,28
1036154966,876.5,77,22,1,39
1036155415,12.0,62,4,1,30
1036165918,1033.0,146,23,2,24
1036165995,891.0,170,17,2,37
1036167323,1379.5,29,25,2,27
1036169289,1517.0,155,23,2,31
1036169766,1147.0,53,24,2,30
1036173053,2153.5,61,46,1,35
1036173537,1611.5,166,18,1,34
1036173654,1841.5,151,25,2,33
1036176075,665.0,153,21,1,33
1036176653,1127.0,34,22,2,40
1036179275,1493.5,131,54,1,32
1036190840,1412.0,33,29,2,37
1036193395,1874.0,54,24,2,36
1036194663,1620.0,103,28,1,29
1036230226,1578.0,103,25,2,42
1036231158,1001.0,20,24,2,29
1036231482,540.0,150,18,1,26
1036233041,2030.0,191,23,1,31
1036233726,3250.0,7,65,2,32
1036235689,1116.0,92,20,1,33
1036235873,2439.0,166,45,2,30
1036237473,798.0,143,17,2,20
1036248297,1301.0,118,22,2,33
1036249432,1918.0,146,26,1,35
1036252013,955.5,106,21,2,41
1036253396,5822.0,154,37,1,33
1036255916,521.5,175,17,2,37
1036262712,1610.0,131,21,2,31
1036262797,733.0,72,19,2,32
1036266020,454.0,125,21,2,25
1036268643,10669.5,104,177,1,25
1036269597,5519.5,112,100,2,35
1036312410,1182.0,97,21,1,44
1036314777,2207.0,139,40,2,48
1036317965,1061.0,43,45,1,34
1036323628,1093.0,152,20,1,38
1036330038,1042.0,90,25,2,48
1036330777,499.0,40,21,1,37
1036331865,730.0,105,23,2,36
1036333713,1310.0,42,26,2,34
1036333721,1335.0,7,44,1,23
1036333883,7041.0,13,208,2,26
1036334906,559.0,111,19,2,24
1036335519,1228.0,62,25,2,31
1036337003,1094.0,16,24,1,30
1036340470,1154.5,125,26,1,39
1036342805,1227.0,101,35,2,42
1036351644,640.0,133,19,1,4
1036372347,1304.0,166,23,1,25
1036377430,3617.0,22,92,1,32
1036378839,2433.5,8,48,1,31
1036379215,956.0,132,24,1,33
1036382476,886.0,145,19,2,36
1036388193,2257.0,26,40,2,27
1036389286,1233.0,154,25,1,25
1036390960,655.0,54,19,1,37
1036391553,1510.0,98,37,1,28
1036392306,1174.0,155,19,2,25
1036392358,1152.0,172,23,1,48
1036392787,1331.0,133,22,2,43
1036392804,3697.0,164,31,2,52
1036393826,497.0,146,20,2,22
1036396305,1160.0,145,35,2,14
1036399780,1347.0,114,25,2,47
1036402244,426.0,41,20,1,34
1036403144,1021.0,27,26,1,25
1036403342,2174.0,77,47,2,30
1036405089,1106.0,187,20,1,26
1036438025,810.5,190,22,2,25
1036438043,2297.0,100,65,1,31
1036439068,1374.5,144,22,1,33
1036441496,1109.0,100,20,1,25
1036442135,6728.0,17,107,1,28
1036442972,709.5,174,17,2,30
1036451399,4391.0,168,49,2,28
1036452545,13674.5,1,159,2,46
1036457229,4243.0,82,98,1,40
1036458355,6084.0,140,80,2,35
1036466621,490.0,33,17,2,29
1036471521,839.0,150,19,2,20
1036483173,1330.0,134,21,2,31
1036485547,1341.5,26,41,1,24
1036492200,1032.0,7,34,2,43
1036496565,1568.5,138,26,1,47
1036498027,817.0,116,38,2,26
1036500892,754.0,93,22,2,37
1036500977,4109.0,67,68,2,33
1036501635,743.0,135,19,1,31
1036501803,1901.5,123,42,2,32
1036502450,672.0,30,17,2,26
1036503314,2064.5,82,30,2,30
1036505417,3494.0,23,60,1,24
1036506152,1515.0,47,27,1,32
1036506465,1190.0,132,25,2,33
1036507165,1752.0,99,26,2,23
1036507752,419.0,141,19,2,30
1036507992,371.5,176,19,1,28
1036508369,1104.0,187,22,2,45
1036508630,1230.0,19,40,2,19
1036509646,670.0,39,24,1,32
1036509686,1222.5,126,38,2,24
1036510948,2013.0,128,24,1,35
1036512972,481.0,145,14,1,22
1036515239,1815.0,42,28,2,37
1036526581,17491.0,126,139,2,37
1036526974,3313.0,99,99,2,26
1036536041,818.0,16,17,1,38
1036537424,3834.0,8,64,2,53
1036540703,574.0,109,19,2,42
1036549570,2576.5,90,58,1,34
1036550851,1965.0,44,45,1,26
1036551715,3953.0,32,91,2,32
1036551987,3504.5,4,60,2,45
1036557455,1065.5,5,20,1,29
1036558091,571.0,130,17,1,22
1036561598,433.0,145,17,2,32
1036563917,424.0,184,20,2,26
1036568637,2675.0,192,31,1,32
