会员编号,money,recent,frequency,sex,age
1035469551,3058.5,37,44,2,36
1035469554,1121.0,26,23,2,36
1035469555,7175.5,10,63,1,36
1035469558,3414.5,22,55,2,37
1035469562,1859.0,25,28,2,36
1035469565,878.0,4,19,2,36
1035469571,1198.0,43,23,2,36
1035469578,1803.5,32,30,2,36
1035469581,551.0,4,19,2,36
1035469590,2530.5,1,32,2,36
1035469593,3425.0,30,33,2,52
1035469605,3730.0,32,53,2,36
1035469606,2815.0,39,27,2,36
1035469623,1775.0,6,30,2,36
1035469635,1172.0,40,20,2,36
1035469639,3931.0,9,68,2,36
1035469640,1507.5,9,26,2,36
1035469647,10474.0,1,31,2,29
1035469649,4283.0,8,68,2,47
1035469651,1052.0,33,24,2,36
1035469655,1941.5,1,42,2,36
1035469664,3566.0,20,72,2,36
1035469665,1608.0,25,24,2,36
1035469676,814.5,31,22,2,36
1035469693,3988.0,27,53,2,36
1035469695,1435.0,26,25,2,29
1035469711,960.0,15,22,2,36
1035469713,507.0,34,24,1,40
1035469716,1310.0,14,28,2,35
1035469723,644.5,32,22,2,36
1035469727,980.0,45,22,1,36
1035469740,2170.5,5,47,2,32
1035469755,1128.0,7,26,1,36
1035469776,7356.0,30,55,2,36
1035469788,2317.0,41,27,2,31
1035469885,328.5,34,18,2,39
1035469899,5457.0,2,49,2,34
1035469976,9169.5,3,62,2,37
1035469982,2917.0,10,53,2,44
1035469989,2686.0,16,28,2,33
1035469992,1808.0,19,21,2,37
1035470176,583.0,6,15,1,39
1035470183,1434.0,32,29,2,34
1035470254,193.51,39,14,2,29
1035470383,1197.0,30,25,2,30
1035470406,1326.5,6,24,2,32
1035470429,1368.0,13,29,1,30
1035470435,692.0,19,20,2,29
1035470606,2285.0,26,25,1,39
1035470651,2000.5,33,23,2,53
1035612774,1025.0,31,24,2,36
1035612776,772.5,37,25,2,36
1035612780,3855.5,6,62,2,36
1035612781,3578.5,36,51,2,36
1035612782,3558.0,31,27,2,36
1035612789,1135.0,38,25,1,35
1035612790,6338.0,22,107,1,36
1035612793,1093.5,36,19,2,36
1035612797,1117.5,24,23,2,36
1035612800,1870.0,17,44,2,36
1035612807,831.5,43,21,2,36
1035612808,1727.3999999999999,32,28,2,36
1035612813,1303.0,33,26,2,36
1035612822,2599.5,9,32,1,33
1035612825,1627.0,27,25,1,33
1035612843,503.5,22,21,2,30
1035612856,7291.0,4,109,2,36
1035612857,927.0,2,22,2,36
1035612861,1163.0,31,24,2,36
1035612866,968.0,7,23,2,36
1035612868,1313.0,32,28,2,36
1035612873,146.0,2,4,1,34
1035612875,1124.0,2,25,2,40
1035612883,6503.0,22,83,2,29
1035612888,988.0,5,26,2,36
1035612893,1306.0,17,21,2,36
1035612895,1142.0,16,24,2,36
1035612908,2318.5,22,29,2,36
1035612910,2380.0,1,27,2,36
1035612919,941.0,24,24,2,45
1035612922,2174.5,44,31,2,36
1035612948,1362.4799999999998,2,28,2,45
1035613029,1980.0,44,30,1,37
1035613075,870.0,30,22,1,30
1035613095,1632.0,2,28,2,36
1035613158,432.0,25,18,2,36
1035691659,8396.5,23,80,2,27
1035924016,1733.0,42,23,1,2
1036071881,160.0,40,10,2,38
1036075842,239.0,40,18,2,30
1036076475,342.5,40,20,1,37
1036077097,279.0,40,20,2,29
1036078432,1013.0,40,20,2,30
1036079370,171.0,36,14,2,21
1036079975,240.0,40,13,2,28
1036083556,256.0,40,15,1,40
1036083717,206.0,40,14,1,36
1036083841,196.0,40,15,2,50
1036084027,175.5,40,11,2,53
1036084425,328.5,40,17,2,37
1036084479,379.5,40,23,2,36
1036084613,242.0,40,17,2,46
1036086116,222.5,40,15,2,42
1036086363,10.0,40,1,2,20
1036086376,788.0,30,23,1,27
1036086509,169.5,40,13,2,32
1036087716,263.5,40,15,1,31
1036087718,205.0,40,12,1,31
1036088723,237.5,40,13,2,37
1036088915,208.5,40,14,1,25
1036089292,413.0,40,22,1,37
1036090457,383.0,40,23,1,37
1036090659,2131.0,15,34,2,17
1036110148,650.0,40,18,1,44
1036113484,265.0,40,17,2,30
1036123299,1117.0,19,26,1,22
1036143173,228.5,40,20,2,34
1036143422,208.0,40,14,1,32
1036143471,183.5,40,13,2,37
1036144333,217.5,40,16,1,58
1036144747,274.0,40,18,1,30
1036145155,182.0,40,14,1,28
1036145288,1083.0,29,23,2,25
1036145840,258.0,40,17,2,47
1036146759,288.5,40,16,1,34
1036146883,290.5,40,16,2,31
1036147063,197.0,37,15,1,27
1036147576,2182.5,24,26,1,32
1036148692,207.0,40,17,2,31
1036148827,272.5,40,15,2,23
1036149266,241.0,40,23,1,37
1036149276,435.0,40,27,2,27
1036149752,250.0,40,18,1,35
1036150444,675.0,40,20,2,33
1036150669,900.0,24,21,1,21
1036151000,442.0,40,21,1,37
1036152380,158.0,40,9,2,23
1036152385,1253.0,40,20,2,45
1036152427,1017.0,11,20,1,28
1036154279,322.5,40,21,2,26
1036154529,1109.0,40,20,2,33
1036154783,373.5,40,21,2,35
1036154844,225.0,40,14,2,37
1036155331,177.5,40,12,2,44
1036155415,4.0,40,2,1,30
1036156757,260.0,40,18,2,43
1036157011,366.5,40,19,2,33
1036157091,295.0,40,15,2,33
1036157307,222.0,40,17,2,31
1036158383,1169.5,23,34,2,25
1036158455,188.0,40,13,2,36
1036159025,902.0,21,21,1,38
1036159378,957.0,40,19,2,33
1036159572,150.0,40,10,2,28
1036160596,213.0,40,14,2,50
1036160898,145.0,38,11,1,27
1036161031,202.0,40,11,2,25
1036161200,196.0,40,14,2,45
1036161281,1448.0,40,22,2,24
1036161451,272.5,40,17,1,48
1036161644,255.0,40,15,2,30
1036162122,295.0,40,15,2,42
1036163106,204.0,40,13,1,31
1036163332,266.0,40,21,2,26
1036163616,281.5,40,14,2,34
1036163708,242.0,40,15,2,37
1036164045,2179.0,40,24,1,33
1036164051,469.0,40,21,2,33
